,label,area,equivalent_diameter,mean_intensity,solidity,area_sq_microns,equivalent_diameter_microns
1,2,587.0,27.33846397952051,19.701873935264054,0.9560260586319218,211.32,16.403078387712306
8,9,366.0,21.587164551489145,32.69672131147541,0.9631578947368421,131.76,12.952298730893487
11,12,226.0,16.96325844612841,32.78761061946903,0.9456066945606695,81.36,10.177955067677045
15,16,71.0,9.507891862878783,49.25352112676056,0.9342105263157895,25.56,5.704735117727269
16,17,220.0,16.73656774376801,28.759090909090908,0.8979591836734694,79.2,10.041940646260805
23,24,548.0,26.414679072721462,40.693430656934304,0.9614035087719298,197.28,15.848807443632877
28,29,186.0,15.389040103942165,39.666666666666664,0.9587628865979382,66.96,9.233424062365298
31,32,936.0,34.52176435050956,24.9732905982906,0.9780564263322884,336.96,20.713058610305733
33,34,303.0,19.64157789116634,27.95049504950495,0.9558359621451105,109.08,11.784946734699803
34,35,304.0,19.67396303746374,27.31907894736842,0.9382716049382716,109.44,11.804377822478243
37,38,198.0,15.877702285203682,43.02020202020202,0.9473684210526315,71.28,9.526621371122209
38,39,122.0,12.463355264843006,27.9672131147541,0.9682539682539683,43.92,7.478013158905803
39,40,56.0,8.444016491289505,29.428571428571427,0.9333333333333333,20.16,5.066409894773702
42,43,93.0,10.881694613449236,42.354838709677416,0.8611111111111112,33.48,6.529016768069542
43,44,66.0,9.166995688475081,35.10606060606061,0.9705882352941176,23.759999999999998,5.500197413085049
45,46,253.0,17.94796937867892,35.74308300395257,0.8815331010452961,91.08,10.768781627207352
47,48,138.0,13.255453865237978,46.46376811594203,0.9583333333333334,49.68,7.953272319142787
48,49,259.0,18.159544104586082,33.2972972972973,0.9418181818181818,93.24,10.895726462751648
49,50,568.0,26.89237924411993,28.984154929577464,0.9250814332247557,204.48,16.135427546471956
50,51,139.0,13.303394180365686,28.223021582733814,0.9328859060402684,50.04,7.982036508219411
53,54,99.0,11.227230955528665,46.505050505050505,0.9611650485436893,35.64,6.736338573317199
57,58,281.0,18.91508160359296,27.96797153024911,0.95578231292517,101.16,11.349048962155775
58,59,62.0,8.884866446580956,48.25806451612903,0.8857142857142857,22.32,5.330919867948573
59,60,265.0,18.36868202552426,44.177358490566036,0.9363957597173145,95.39999999999999,11.021209215314556
72,73,361.0,21.43920417481474,32.64542936288089,0.9575596816976127,129.96,12.863522504888843
74,75,390.0,22.283703068536735,42.85897435897436,0.9653465346534653,140.4,13.37022184112204
77,78,464.0,24.306031118985995,36.64224137931034,0.9488752556237219,167.04,14.583618671391596
79,80,443.0,23.74963406702674,37.08803611738149,0.9096509240246407,159.48,14.249780440216044
80,81,465.0,24.33220886606579,31.67956989247312,0.8230088495575221,167.4,14.599325319639474
90,91,143.0,13.493452297211721,31.95104895104895,0.934640522875817,51.48,8.096071378327032
